Comment	Member ID	Member Nickname	Rating	Restaurant Address	Restaurant ID	Restaurant Latitude	Restaurant Longitude	Restaurant Name	Restaurant code	Restaurant subcode	Time
대전 둔산동에 위치한 퓨전 양식집! 입구부터 내부까지 인테리어도 넘 예쁘고 좋았담 삼겹살 파스타와 고르곤졸라 패스츄리 시켰는데 둘다 진짜 맛있었다 리뷰들이 전부 양이 많대서 여자 둘이 먹기에 많을까 걱정했는데 싹싹 다먹음.. 삼겹살 파스타는 대패삼겹까진 아닌데 다소 얇은 고기였지만 양은 적지 않았다 잘게 썰린 상추랑 파스타면,고기가 은근 괜찮은 조합이었고 약간 매콤해서 한식스러운 면도 잘 살린듯!! 고르곤졸라 패스추리가 진짜 바삭한 패스추리안에 고르곤졸라랑 사과가 가득해서 넘 내스타일...ㅠㅠ 먹을수록 물릴꺼같았는데 나는 안그랬다 또먹고싶당...	361632	써머칭구	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-07-07 06:44:19
"음식도 너무 맛있고 분위기도 짱 좋아요!!
세명이서 자몽리코타샐러드, 백합마스카포네 리조또, 불고기 깔보구리, 고르곤졸라 패스츄리를 시켰는데 양이 많아서 패스츄리는 좀 포장해왔어요
샐러드는 보시다시피 아쥬 예뻐요!ㅅ! 자몽도 상큼하고 빵도 들어있지만 정작 야채 양은 많지는 않은것같아요.
가장 맛있었던 메뉴는 백합리조또에요! 완전 하나도 안느끼하고 너무 맛있었어요. 백합이랑 치즈가 잘 어우러져서>.< 담에 또 시켜 먹을것같아요
깔보구리는 제가 초록색 음식을 좋아해서 시켰는데 괜찮았어요! 불고기 맛이 많이나서 단맛 좋아하시면 추천이에요ㅎㅎ
마지막으로 패스츄리는 식사라기보다는 디저트 같았는데 바삭바삭하니 맛나더라구요
모두다 만족하고 온 곳이라 꼭 한번 더 가려구요!! 담에 가면 백합리조또랑 토마토소스 파스타를 먹어봐야겠쯥니당"	567494	쌤J	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-01-27 16:23:00
"오랜만에 또 방문한 모모가든이에요. 개인적으로 대전 탑3안에 꼽을 것 같아요!
저번에 먹어봤던 메뉴로 다시 시켰는데 그대로 맛있더라구요ㅎㅎ
삼겹살 파스타는 채썬 상추랑 구운 대패 삼겹살 그리고 달달한 굴소스? 느낌의 파스타예요. 달달짭쪼롬하고 삼겹살도 정말 잘구웠고 김가루가 은근 빠지면 안될 중요한 요소 같아요! 세숫대야보다 큰 그릇에 나와서 양도 넉넉해요ㅎㅎ
명란 리브레는 명란+로제 소스인데 명란 맛은 거의 안나요. 비린내 조차 안남. 그냥 맛있는 로제 파스타라고 생각하시면 될 것 같아요. 치아바타 빵도 아래 깔려서 나오는데 소스 찍어서 먹으면 맛있더라구요~ 명란 리브레늬 매력은 페투치네 넓이의 3배 정도 돼보이는 파파델레 면인 것 같아요. 굵고 넓적한 면 너무 좋아요ㅠㅠ
벌집이랑 같이 나오는 고르곤졸라 패스츄리는 여전히 인생 음식이에요. 너무 맛있엉... 고르곤졸라 향도 과하지 않게 정말 좋고 벌집 얹어먹으면 진짜 환상이네요ㅠㅠ 잘라 먹기 조금 불편할 뿐...
다음에 또 가면 다른 메뉴 먹어보고 싶어요!!!"	47875	준영	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2016-06-17 10:32:42
모모가든 정말 대전에서 가본 곳 중 최고였어요!!!! 일단 자몽 리코타 치즈 샐러드는 자몽 하나가 큐빅 모양으로 잘라져 나오는데 쓴맛 강하지 않고 은은하게 단 신선한 자몽이었어요. 그리고 채소들 위에 리코타 치즈랑 크랜베리가 올라가 있는데 치즈 정말 진하고 너무 맛있었구요. 드레싱은 발사믹 맛이 나는데 되게 달달하고 상큼해서 뭔가 싶어서 메뉴판을 보니 유자 발사믹 드레싱이라고 하네요. 빵이 좀 부드러운 느낌이었으면 좋았을 것 같아요~  삼겹살 파스타는 적당히 얇은 대패 삼겹살을 잘 굽고 파채,상추 그리고 고추 기름으로 만든 알리오올리오가 같이 나왔어요. 근데 삽겹살 정말 탄부분 없이 촉촉하고 끝부분은 살짝 바삭하게 잘 구웠구요. 파스타도 알리오 올리오라 삼겹살이랑 같이 먹으면 좀 느글거릴줄 알았는데 고추기름이랑 상추 덕분인지 거의 안느끼했고 너무 맛있게 잘먹었어요!!  장조림파스타는 약간 굴소스 파스타 같은 느낌이에요. 그리고 장조림이 들어가있는데 진짜 다 계란만함..당연히 실처럼 뜯어서 줄줄 알았는데 이렇게 통큰 장조림을...감사합니다ㅠㅠㅠㅠ심지어 완전 부드러웠어요. 그렇게 커다란 고기가 입에서 녹아내림...  불고기 깔보구리는 너구리 같은 면으로 조리해서 그렇다고 해요. 진짜 너구리면으로 한줄알았는데 먹어보니 너구리보다 훨씬 두껍고 탄탄한 파스타면이더라구요. 그리고 저 초록색의 정체는 청양고추크림소스라고해요. 어쩐지 먹다보니 은은하게 매운맛이 좀 난거같아요. 무엇보다 파메르산 치즈를 저렇게 넉넉하게 주신게 너무 감동♥대전에서 이런곳 잘 없는데ㅠㅠ 불고기랑 크림 조화 나쁘지 않을것 같죠??이것도 맛있었어요ㅎㅎ 그 다음은 명란 리브레에요. 명란젓을 섞은 로제 소스로 만든 파스타를 치아바타 빵 위에 얹었어요. 로제 소스라 맛있긴한데 명란의 향이 거의 느껴지지 않아 좀 아쉬웠던 음식ㅠㅠ맛있기는 했어요!    그 다음은 제가 정말 감동받고 사랑하는 벌집 패스츄리에요. 처음에는 가격대가 좀 세서(16000원) 벌집 많이 들어가도 좀 비싼듯 하다 생각했는데 전혀 비싸지 않아요. 일단 사진에 보이는 느낌의 사이즈가 아니에요. 보통 치아바타 사이즈 생각하시면 안되구요. 노트북 세로 길이..?한 30센치는 되는것 같아요. 그냥 피자 한판 드신다고 생각하시면 돼요. 근데 이게 정말 감동적인 맛인게, 사진에선 안보이지만 패스츄리를 반으로 갈라서 그안에 고르곤졸라 치즈를 진짜 한가득 넣어놨어요. 근데 이제 퀄이 좋은 치즈를 쓴건지 맛이 진짜 장난없어요ㅠㅠㅠㅠ향도 대박 짙어서 좋아요ㅠㅠ그리고 먹기 좋은 사이즈로 자른 다음 벌집 약간 잘라서 얹어먹으면 진짜 천국 갔다와요...벌집도 허니칩 아이스크림 같이 이에 쩍쩍 안달아붙구요. 벌집마저 입에서 녹아요...이거 먹기 위해서라도 꼭 다시 방문할거에요. 아 양은 다 1.3~1.5인분 되는거 같은데 사진에는 진짜 다 작게 보이네요. 특히 삼겹살 파스타는 세숫대야만한 대접에 나와요! 여성분 셋이 가시면 메뉴 두개만 추천드리는 정도입니다ㅎㅎ	47875	준영	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2015-10-10 16:04:11
"타임월드 근처에 있는 집이었다. 가게가 의외로 찾기 쉽지 않았는데 가보니 여기에 이런가게가 있었어? 싶긴했다. 작지도 크지도 않은 가게인데 인테리어는 예뻤다.

삼겹살파스타랑 모모김밥 주문하고 음료도 주문했다. 삼겹살파스타는 예상가능한 맛이었지만 어쨌거나 이 조합이 맛이 없을수는 없는듯하다. 그리고 모모김밥은 비주얼은 엄청 양식 스러운데 먹어보면 완전 김밥 맛이라서 너무너무 놀랐다. 김밥이니 맛이 없을수는 없다. 그냥 예쁜 비주얼의 김밥이랄까나.

음료는 두 음식이 느끼한데 비해서 깔끔해서 좋았다. 달지도 않고. 음료만 먹고 식사 떼워도 될거같이 나름대로 든든하기도 했다. 비주얼은 풀을 꽂아주니 참 신기하긴 했지만 ㅋㅋㅋ"	533317	푱	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-07-11 15:56:40
신선한메뉴들이 반기는곳이에요. 자몽리코타치즈샐러드는 일단 상콤한 생자몽들을 보기만해도 기분좋아지는음식이에요. 리코타치즈는 바닐라맛이 첨가되어있는데용. 저는 그냥 리코타치즈가 더 좋아용...ㅋㅋㅋ삼겹살파스타두 맛있었어용. 살짝 짭짤한면과 얇게 구어진 삼겹살의 조화가 괜찮더라구용. 무척 오일리한 파스타에 삼겹살까지 나오니 느끼하실수도있어요. 좀 담백한 메뉴나 샐러드를 같이 시키시는걸 추천합니당ㅎㅎ다른메뉴도 도전하고픔!	55110	inyeongchoi	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2016-02-28 16:47:46
오랜만에 모모가든을 다녀왔어요! 자몽리코타샐러드 , 삼겹살파스타 ,모모김밥, 그리고 이름 생각 안나는 페스츄리 먹었어요 ㅎㅎ 자몽리코타 샐러드는 딱 예상가능한 맛이에요! 친구는 샐러드 옆에 나오는 빵이 맛있대요 ㅎ 삼겹살 파스타는 그 안에 삼겹살도 있고 마늘도 있고 상추도 있어서 면이랑 쌈싸먹는 느낌이였어요!ㅋㅋㅋ전 맛있었어요! 그리고 모모김밥은 처음 먹어봤는데 전 기대를 안해서 그런지 생각보다 맛있었어요! 김밥맛나는 리조또인데 토마토살사?가 위에 뿌려져있던데 토마토랑 김밥조화가 생각보다 엄청 잘 어울려서 좋았어요 ㅎ 페스츄리는 처음엔 안에 있는 치즈가 짜다는 느낌을 받았는데 같이 주시는 꿀이랑 같이 먹으니 단짠 효과가 나서 맛있었어요 ㅎㅎ 근데 잘라서 두번? 먹었는데 좀 질렸어요 ㅎㅎ 전체적으로 맛있는 식사였어요 ㅎㅎㅎㅎㅎ	553856	백승연	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-06-28 01:26:43
"평점 4.5/5

ㅁ총평
드디어 대전에 이런 곳이 생기다니..! 하는 생각이 드는 곳. 양식으로는 대전에서 top3에 들 것이라 확신한다. 음식, 분위기, 무엇 하나 빠지는 곳이 없는 곳. 

ㅁ맛
메뉴 하나하나 개성있다. 대전에서 이런 곳을 본 적이 없어서 너무나 충격이었다. 
-삼겹살 파스타
한입 먹고 미처 다 씹기도 전에 말했다. 망플 리뷰에 사람들이 대전 최고의 맛집이다, 대전에서 탑3에 들거다, 하고 극찬하는 내용밖에 없어서 굉장히 기대했는데. 기대했던 대로야! 진짜 맛있다. 오일 파스타+얇은 삼겹살+상추의 조합이 이렇게나 훌륭할 줄이야. 적당히 구워진 삼겹살와 신선한 상추라는 아주 평범하게 맛있는 맛이 알리오 올리오와 같이 입에 들어오니.. 아... 홍대 무라 명란비빔밥을 먹은 이후 이정도 충격은 처음이었다. 그냥 이 메뉴는 꼭 드새오. 
-명란 리브레
파스타 면이 굉장히 독특하다. 맨 밑에 깔린 호밀빵 위에 파스타와 소스를 올려 먹으면 궁합이 좋다. 견과류가 많이 들어있는 점도 특이하다. 소스에 절여진 빵이라는 자칫 질릴 수 있는 식감을, 견과류의 아삭한 식감이 잡아준다. 로제 파스타 치고는 조금 느끼한 편. 하지만 속재료도 풍부하고 각 재료들의 조합도 좋음. 

ㅁ양
진짜 많다. 3인 2메뉴가 적당할듯. 

ㅁ분위기
왠만하면 나는 가게 내부를 잘 찍지 않는다. 분위기는 거들뿐, 중요한 건 음식이라고 생각해서. 하지만 이곳은 찍지 않을 수가 없었다... 요즘 날이 좋아서 테라스까지 개방하니 금상첨화였다. 마치 정원에서 밥을 먹는 듯한 느낌. 물병만 보아도 알겠지만, 세심하게 아주 작은 부분까지 신경을 쓴 게 보인다. 대전에 이렇게 분위기 좋은 레스토랑이 생길 줄이야..... 데이트하기도, 어른과 오기도, 친구들과 오기도 좋을 것 같다. 


ㅁ가성비
최소 인당 15,000원 정도 생각해야 한다. 하지만, 값을 한다. 그동안 대전에는 적정한 가격대의 식당은 많지만, 맛집은 거의 없어서 불만이었는데. 차라리 이렇게 비싸도 맛있는 집이 생기니까 너무 만족스럽다. 

ㅁ서비스
굉장히 친절하심. "	754881	킴슐랭가이드	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-06-13 23:29:29
"대전에서 꽤나 유명한 이탤리언 레스토랑. 이름만 들어서는 약간 쁘띠한 분위기를 예상했으나 의외로 굉장히 가든에 충실한 그린그린 초록초록 인테리어 자랑하심. 

파스타 안좋아하는데 역시나 이 집 파스타도 별로.. 근데 다른 파스타들은 맛있다고 한다. 내가 시킨 건 별로였음.

패스츄리 고르곤졸라는 주문하면 그 때 굽기 시작한다고 한다. 패스츄리는 받아오는걸까.. 직접 반죽하는 걸까.. 궁금할 정도로 수준급. 패스츄리 사이에 고르곤졸라 치즈를 넣고 벌집을 같이 먹는 음식인데 그 자체로도 비쥬얼 굳굳.

열 많은 사람들은 벌집 웬만하면 먹지 마세요. 생각없이 오 존맛 이러면서 다 쓸어먹었다가 이후 며칠간 열나서 안그래도 더운데 짜증났음 ^^..."	516849	Kuhn	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2017-07-18 22:39:26
"지금까지 이 곳을 안가본걸 정말 후회하게 만들어줬던 식당....
자몽리코타샐러드, 백합마스카포네리조또 그리고 모짜렐라 토마토 펜네 파스타를 주문했는데 모두 깔끔히 맛있게 먹었습니다. 물론 부모님께서도 정말로 만족하셨던 편!!
우선 자몽리코타는 새콤달콤했던게 너무 좋았습니다 빵과 곁들여 먹는 조합도 굿! 특히 자몽이 특이했던게 쓸줄알았는데 오히려 덜시고 달콤했습니다. 
백합마스카포네리조또는... 저에겐 느끼하다는 편견을 깨준요리? 보리밥을 리조또처럼하고 그위에 마스카포네 치즈... 생각만해도 느끼할줄 알았는데 별로 그렇지도 않고 고소하고, 백합조개와 가리비살도 톡톡씹혀서 좋았습니다.
마지막으로는...  모짜렐라 펜네 파스타...
쭉쭉늘어나는 모짜렐라 치즈와 페투치네면 그리고 치즈가 하나 더 들어간것같은데... 저는 만족했으나 부모님께는 조금 아쉬웠던 요리였습니다.
전체적으로 모두 만족스러웠습니다! 이제까지 여기를 못가본게 너무 후회되게 만들었던 곳... 강추입니다 강추!!!"	161108	테오LIFE	3	대전시 서구 둔산동 1081	188235	36.3518803	127.3757299	모모가든	4	16	2016-12-28 08:34:11
